"requirement_id","phase","requirement","authoritative_evidence","current_status","gap","blocking","required_action"
"DECISION-D3","0","Choose accepted schema authority","RC package integrity checks and frozen live snapshot","PENDING_USER_DECISION","reference package is mixed RC1/RC2 and live marker remains 1.4.1-rc.1","yes","approve upstream immutable rebuild D3-A or frozen live-shape exception D3-B"
"COMPAT-PACKET","1","Publish decision-ready D1 D2 D3 evidence","compatibility-decision-packet.md/json and compatibility-candidate-matrix.csv","PASS","4 source candidates are reviewable and 6 are semantically insufficient; D2-A and D3-A/B approval text frozen","no","obtain explicit decisions without guessing mappings"
"P1-CONTRACTS","1","Freeze five immutable Domain contracts","packages/telemetry-contracts plus integrations/domain-projection/contracts/v1","PASS","5 readonly types; one existing-package validator; 5 hash-locked schemas; 7 valid and 14 invalid fixtures; 13 adversarial tests","no","retain sdar.domain-projection/v1 manifest and verifier gate"
"P2-RUNTIME","2","Add checkpointed Domain runtime","repository search","MISSING","SourceReader stores scheduler runtime and adapters absent","yes","build in-memory vertical runtime only after D1 D2 D3 clear the schema hard stop"
"P3-IDENTITY","3","Enforce deterministic ID revision hash and conflict semantics","repository search","MISSING","Evidence helpers are private and use different identity semantics","yes","add shared bounded Domain primitives and tests"
"P4-8-MAPPERS","4-8","Implement ten deterministic mappings","compatibility-candidate-matrix.csv","BLOCKED","4 candidates are reviewable and 6 lack required target semantics; 0 mappings approved","yes","keep all rows MAPPING_CONTRACT_BLOCKED pending authoritative D1 contracts"
"P9-REPLAY","9","Reconcile replay repair and schema drift","repository search","MISSING","no Domain operations or fail-closed drift state","yes","implement after stable runtime and mappings"
"P10-QUERY","10","Expose three Domain Query endpoints","apps/query-api/src/server.ts","MISSING","0 of 3 implemented","yes","add filtered facts and bidirectional lineage routes"
"P10-ADMIN","10","Expose five read and four control Admin endpoints","apps/admin-api/src/main.ts","MISSING","0 of 9 implemented and dryRun default absent","yes","add persistent validated commands; never edit target facts"
"P10-PERMISSIONS","10","Least-privilege Domain credentials","Compose and ClickHouse client","MISSING","no source/meta reader plus embodied/meta writer boundary","yes","provision and document distinct allowlisted credentials"
"P10-METRICS","10","Publish eleven bounded-cardinality metrics","repository search","MISSING","0 of 11 implemented","yes","add projection-scoped metrics and label tests"
"P10-READINESS","10","Health readiness config Compose OpenAPI operations docs","repository search","MISSING","Domain service and operational surface absent","yes","implement all checks and documentation"
"P11-SET","11","Freeze embodied-standard/1 projection set","integrations directory","MISSING","projection-set definitions mappings source lock and hash absent","yes","publish only after ten contracts are approved"
"P12-13-TESTS","12-13","Full integration and adversarial acceptance","tests directory","MISSING","no Domain tests or real E2E evidence","yes","add deterministic restart conflict replay drift and truth-boundary cases"
"P14-SCRIPTS","14","Add four Domain test and verify scripts","package.json","PARTIAL","verify:domain-projection-contracts exists and passes; runtime unit E2E and projection-set scripts remain absent","yes","add the remaining three scripts in their owning phases"
"P14-REPORTS","14","Publish final acceptance reports and validation artifacts","reports/domain-projection-v0.1","MISSING","final reports not created in Phase 0","yes","generate from executed evidence; record NOT_RUN explicitly"
"P14-COMPLETE","14","Emit SDAR_DOMAIN_PROJECTION_V0_1_COMPLETE","task package final gate","BLOCKED","required implementation and real ClickHouse acceptance are absent","yes","do not emit COMPLETE"
